
--- Training run started at 2026-07-10 08:58:02 ---
Config: EPOCHS=50, WARMUP=5, GRAD_ACCUM=4, patience=12, AMP=True
Epoch 01/50  train=2.53296  val=2.08844  lr=1.04e-05  (236s)
  -> new best val_loss; checkpoint saved
Epoch 02/50  train=0.33131  val=0.27400  lr=2.03e-05  (233s)
  -> new best val_loss; checkpoint saved
Epoch 03/50  train=0.27451  val=0.29306  lr=3.02e-05  (231s)
Epoch 04/50  train=0.27423  val=0.28956  lr=4.01e-05  (231s)
Epoch 05/50  train=0.27704  val=0.28698  lr=5.00e-05  (232s)
Epoch 06/50  train=0.27819  val=0.28901  lr=4.99e-05  (244s)
Epoch 07/50  train=0.27680  val=0.28897  lr=4.98e-05  (241s)
Epoch 08/50  train=0.27867  val=0.28683  lr=4.95e-05  (242s)
Epoch 09/50  train=0.28033  val=0.32749  lr=4.91e-05  (242s)
Epoch 10/50  train=0.28801  val=0.30659  lr=4.85e-05  (241s)
Epoch 11/50  train=0.28912  val=0.32079  lr=4.79e-05  (244s)
Epoch 12/50  train=0.28498  val=0.29767  lr=4.71e-05  (243s)
Epoch 13/50  train=0.28484  val=0.32950  lr=4.63e-05  (243s)
Epoch 14/50  train=0.28340  val=0.32589  lr=4.53e-05  (242s)
  -> early stopping at epoch 14 (no improvement 12 epochs)
